,top_parent,second_level,third_level,fourth_level,fifth_level
1240,"Total, all occupations",Business and financial operations occupations,Financial specialists,Counter and rental clerks and parts salespersons,Counter and rental clerks
1241,"Total, all occupations",Business and financial operations occupations,Financial specialists,Counter and rental clerks and parts salespersons,Parts salespersons
1242,"Total, all occupations",Business and financial operations occupations,Financial specialists,Counter and rental clerks,Counter and rental clerks
1243,"Total, all occupations",Business and financial operations occupations,Financial specialists,Parts salespersons,Parts salespersons
1244,"Total, all occupations",Business and financial operations occupations,Financial specialists,Retail salespersons,Retail salespersons
1245,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Switchboard operators, including answering service","Switchboard operators, including answering service"
1246,"Total, all occupations",Business and financial operations occupations,Financial specialists,Telephone operators,Telephone operators
1247,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Communications equipment operators, all other","Communications equipment operators, all other"
1248,"Total, all occupations",Business and financial operations occupations,Financial specialists,Agricultural inspectors,Agricultural inspectors
1249,"Total, all occupations",Business and financial operations occupations,Financial specialists,Animal breeders,Animal breeders
1250,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Graders and sorters, agricultural products","Graders and sorters, agricultural products"
1251,"Total, all occupations",Business and financial operations occupations,Financial specialists,Miscellaneous agricultural workers,Agricultural equipment operators
1252,"Total, all occupations",Business and financial operations occupations,Financial specialists,Miscellaneous agricultural workers,"Farmworkers and laborers, crop, nursery, and greenhouse"
1253,"Total, all occupations",Business and financial operations occupations,Financial specialists,Miscellaneous agricultural workers,"Farmworkers, farm, ranch, and aquacultural animals"
1254,"Total, all occupations",Business and financial operations occupations,Financial specialists,Miscellaneous agricultural workers,"Agricultural workers, all other"
1255,"Total, all occupations",Business and financial operations occupations,Financial specialists,Agricultural equipment operators,Agricultural equipment operators
1256,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Farmworkers and laborers, crop, nursery, and greenhouse","Farmworkers and laborers, crop, nursery, and greenhouse"
1257,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Farmworkers, farm, ranch, and aquacultural animals","Farmworkers, farm, ranch, and aquacultural animals"
1258,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Agricultural workers, all other","Agricultural workers, all other"
1259,"Total, all occupations",Business and financial operations occupations,Financial specialists,Boilermakers,Boilermakers
1260,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Brickmasons, blockmasons, and stonemasons",Brickmasons and blockmasons
1261,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Brickmasons, blockmasons, and stonemasons",Stonemasons
1262,"Total, all occupations",Business and financial operations occupations,Financial specialists,Brickmasons and blockmasons,Brickmasons and blockmasons
1263,"Total, all occupations",Business and financial operations occupations,Financial specialists,Stonemasons,Stonemasons
1264,"Total, all occupations",Business and financial operations occupations,Financial specialists,Carpenters,Carpenters
1265,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Carpet, floor, and tile installers and finishers",Carpet installers
1266,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Carpet, floor, and tile installers and finishers","Floor layers, except carpet, wood, and hard tiles"
1267,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Carpet, floor, and tile installers and finishers",Floor sanders and finishers
1268,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Carpet, floor, and tile installers and finishers",Tile and stone setters
1269,"Total, all occupations",Business and financial operations occupations,Financial specialists,Carpet installers,Carpet installers
1270,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Floor layers, except carpet, wood, and hard tiles","Floor layers, except carpet, wood, and hard tiles"
1271,"Total, all occupations",Business and financial operations occupations,Financial specialists,Floor sanders and finishers,Floor sanders and finishers
1272,"Total, all occupations",Business and financial operations occupations,Financial specialists,Tile and stone setters,Tile and stone setters
1273,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Cement masons, concrete finishers, and terrazzo workers",Cement masons and concrete finishers
1274,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Cement masons, concrete finishers, and terrazzo workers",Terrazzo workers and finishers
1275,"Total, all occupations",Business and financial operations occupations,Financial specialists,Cement masons and concrete finishers,Cement masons and concrete finishers
1276,"Total, all occupations",Business and financial operations occupations,Financial specialists,Terrazzo workers and finishers,Terrazzo workers and finishers
1277,"Total, all occupations",Business and financial operations occupations,Financial specialists,Construction laborers,Construction laborers
1278,"Total, all occupations",Business and financial operations occupations,Financial specialists,Construction equipment operators,"Paving, surfacing, and tamping equipment operators"
1279,"Total, all occupations",Business and financial operations occupations,Financial specialists,Construction equipment operators,Pile driver operators
1280,"Total, all occupations",Business and financial operations occupations,Financial specialists,Construction equipment operators,Operating engineers and other construction equipment operators
1281,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Paving, surfacing, and tamping equipment operators","Paving, surfacing, and tamping equipment operators"
1282,"Total, all occupations",Business and financial operations occupations,Financial specialists,Pile driver operators,Pile driver operators
1283,"Total, all occupations",Business and financial operations occupations,Financial specialists,Operating engineers and other construction equipment operators,Operating engineers and other construction equipment operators
1284,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Drywall installers, ceiling tile installers, and tapers",Drywall and ceiling tile installers
1285,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Drywall installers, ceiling tile installers, and tapers",Tapers
1286,"Total, all occupations",Business and financial operations occupations,Financial specialists,Drywall and ceiling tile installers,Drywall and ceiling tile installers
1287,"Total, all occupations",Business and financial operations occupations,Financial specialists,Tapers,Tapers
1288,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Computer, automated teller, and office machine repairers","Computer, automated teller, and office machine repairers"
1289,"Total, all occupations",Business and financial operations occupations,Financial specialists,Radio and telecommunications equipment installers and repairers,"Radio, cellular, and tower equipment installers and repairers"
1290,"Total, all occupations",Business and financial operations occupations,Financial specialists,Radio and telecommunications equipment installers and repairers,"Telecommunications equipment installers and repairers, except line installers"
1291,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Radio, cellular, and tower equipment installers and repairers","Radio, cellular, and tower equipment installers and repairers"
1292,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Telecommunications equipment installers and repairers, except line installers","Telecommunications equipment installers and repairers, except line installers"
1293,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",Avionics technicians
1294,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","Electric motor, power tool, and related repairers"
1295,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","Electrical and electronics installers and repairers, transportation equipment"
1296,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","Electrical and electronics repairers, commercial and industrial equipment"
1297,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","Electrical and electronics repairers, powerhouse, substation, and relay"
1298,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","Electronic equipment installers and repairers, motor vehicles"
1299,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",Audiovisual equipment installers and repairers
1300,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",Security and fire alarm systems installers
1301,"Total, all occupations",Business and financial operations occupations,Financial specialists,Avionics technicians,Avionics technicians
1302,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Electric motor, power tool, and related repairers","Electric motor, power tool, and related repairers"
1303,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Electrical and electronics installers and repairers, transportation equipment","Electrical and electronics installers and repairers, transportation equipment"
1304,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Electrical and electronics repairers, commercial and industrial equipment","Electrical and electronics repairers, commercial and industrial equipment"
1305,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Electrical and electronics repairers, powerhouse, substation, and relay","Electrical and electronics repairers, powerhouse, substation, and relay"
1306,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Electronic equipment installers and repairers, motor vehicles","Electronic equipment installers and repairers, motor vehicles"
1307,"Total, all occupations",Business and financial operations occupations,Financial specialists,Audiovisual equipment installers and repairers,Audiovisual equipment installers and repairers
1308,"Total, all occupations",Business and financial operations occupations,Financial specialists,Security and fire alarm systems installers,Security and fire alarm systems installers
1309,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Aircraft structure, surfaces, rigging, and systems assemblers","Aircraft structure, surfaces, rigging, and systems assemblers"
1310,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Electrical, electronics, and electromechanical assemblers","Coil winders, tapers, and finishers"
1311,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Electrical, electronics, and electromechanical assemblers","Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers"
1312,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Coil winders, tapers, and finishers","Coil winders, tapers, and finishers"
1313,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers","Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers"
1314,"Total, all occupations",Business and financial operations occupations,Financial specialists,Engine and other machine assemblers,Engine and other machine assemblers
1315,"Total, all occupations",Business and financial operations occupations,Financial specialists,Structural metal fabricators and fitters,Structural metal fabricators and fitters
1316,"Total, all occupations",Business and financial operations occupations,Financial specialists,Fiberglass laminators and fabricators,Fiberglass laminators and fabricators
1317,"Total, all occupations",Business and financial operations occupations,Financial specialists,Timing device assemblers and adjusters,Timing device assemblers and adjusters
1318,"Total, all occupations",Business and financial operations occupations,Financial specialists,Miscellaneous assemblers and fabricators,Miscellaneous assemblers and fabricators
1319,"Total, all occupations",Business and financial operations occupations,Financial specialists,Aircraft pilots and flight engineers,"Airline pilots, copilots, and flight engineers"
1320,"Total, all occupations",Business and financial operations occupations,Financial specialists,Aircraft pilots and flight engineers,Commercial pilots
1321,"Total, all occupations",Business and financial operations occupations,Financial specialists,"Airline pilots, copilots, and flight engineers","Airline pilots, copilots, and flight engineers"
1322,"Total, all occupations",Business and financial operations occupations,Financial specialists,Commercial pilots,Commercial pilots
1323,"Total, all occupations",Business and financial operations occupations,Financial specialists,Air traffic controllers and airfield operations specialists,Air traffic controllers
1324,"Total, all occupations",Business and financial operations occupations,Financial specialists,Air traffic controllers and airfield operations specialists,Airfield operations specialists
1325,"Total, all occupations",Business and financial operations occupations,Financial specialists,Air traffic controllers,Air traffic controllers
1326,"Total, all occupations",Business and financial operations occupations,Financial specialists,Airfield operations specialists,Airfield operations specialists
1327,"Total, all occupations",Business and financial operations occupations,Financial specialists,Flight attendants,Flight attendants
1328,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer and information analysts,Computer systems analysts
1329,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer and information analysts,Information security analysts
1330,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer systems analysts,Computer systems analysts
1331,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Information security analysts,Information security analysts
1332,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer and information research scientists,Computer and information research scientists
1333,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer support specialists,Computer network support specialists
1334,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer support specialists,Computer user support specialists
1335,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer network support specialists,Computer network support specialists
1336,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer user support specialists,Computer user support specialists
1337,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Database and network administrators and architects,Computer network architects
1338,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Database and network administrators and architects,Database administrators
1339,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Database and network administrators and architects,Database architects
1340,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Database and network administrators and architects,Network and computer systems administrators
1341,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer network architects,Computer network architects
1342,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Database administrators,Database administrators
1343,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Database architects,Database architects
1344,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Network and computer systems administrators,Network and computer systems administrators
1345,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Software and web developers, programmers, and testers",Computer programmers
1346,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Software and web developers, programmers, and testers",Software developers
1347,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Software and web developers, programmers, and testers",Software quality assurance analysts and testers
1348,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Software and web developers, programmers, and testers",Web developers
1349,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Software and web developers, programmers, and testers",Web and digital interface designers
1350,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Computer programmers,Computer programmers
1351,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Software developers,Software developers
1352,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Software quality assurance analysts and testers,Software quality assurance analysts and testers
1353,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Web developers,Web developers
1354,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Web and digital interface designers,Web and digital interface designers
1355,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Computer occupations, all other","Computer occupations, all other"
1356,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Physicians,Anesthesiologists
1357,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Physicians,Cardiologists
1358,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Physicians,Dermatologists
1359,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Physicians,Emergency medicine physicians
1360,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Physicians,Family medicine physicians
1361,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Physicians,General internal medicine physicians
1362,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Physicians,Neurologists
1363,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Physicians,Obstetricians and gynecologists
1364,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Anesthesiologists,Anesthesiologists
1365,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Cardiologists,Cardiologists
1366,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Dermatologists,Dermatologists
1367,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Emergency medicine physicians,Emergency medicine physicians
1368,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Family medicine physicians,Family medicine physicians
1369,"Total, all occupations",Computer and mathematical occupations,Computer occupations,General internal medicine physicians,General internal medicine physicians
1370,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Neurologists,Neurologists
1371,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Obstetricians and gynecologists,Obstetricians and gynecologists
1372,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Pediatricians, general","Pediatricians, general"
1373,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Physicians, pathologists","Physicians, pathologists"
1374,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Psychiatrists,Psychiatrists
1375,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Radiologists,Radiologists
1376,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Physicians, all other","Physicians, all other"
1377,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Surgeons,"Ophthalmologists, except pediatric"
1378,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Surgeons,"Orthopedic surgeons, except pediatric"
1379,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Surgeons,Pediatric surgeons
1380,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Surgeons,"Surgeons, all other"
1381,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Ophthalmologists, except pediatric","Ophthalmologists, except pediatric"
1382,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Orthopedic surgeons, except pediatric","Orthopedic surgeons, except pediatric"
1383,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Pediatric surgeons,Pediatric surgeons
1384,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Surgeons, all other","Surgeons, all other"
1385,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Miscellaneous healthcare diagnosing or treating practitioners,Acupuncturists
1386,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Miscellaneous healthcare diagnosing or treating practitioners,Dental hygienists
1387,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Miscellaneous healthcare diagnosing or treating practitioners,"Healthcare diagnosing or treating practitioners, all other"
1388,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Acupuncturists,Acupuncturists
1389,"Total, all occupations",Computer and mathematical occupations,Computer occupations,Dental hygienists,Dental hygienists
1390,"Total, all occupations",Computer and mathematical occupations,Computer occupations,"Healthcare diagnosing or treating practitioners, all other","Healthcare diagnosing or treating practitioners, all other"
1391,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Actuaries,Actuaries
1392,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Mathematicians,Mathematicians
1393,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Operations research analysts,Operations research analysts
1394,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Statisticians,Statisticians
1395,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Data scientists,Data scientists
1396,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Mathematical science occupations, all other","Mathematical science occupations, all other"
1397,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Aerospace engineers,Aerospace engineers
1398,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Agricultural engineers,Agricultural engineers
1399,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Bioengineers and biomedical engineers,Bioengineers and biomedical engineers
1400,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Chemical engineers,Chemical engineers
1401,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Civil engineers,Civil engineers
1402,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Computer hardware engineers,Computer hardware engineers
1403,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Electrical and electronics engineers,Electrical engineers
1404,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Electrical and electronics engineers,"Electronics engineers, except computer"
1405,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Electrical engineers,Electrical engineers
1406,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Electronics engineers, except computer","Electronics engineers, except computer"
1407,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Environmental engineers,Environmental engineers
1408,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Astronomers and physicists,Astronomers
1409,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Astronomers and physicists,Physicists
1410,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Astronomers,Astronomers
1411,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Physicists,Physicists
1412,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Atmospheric and space scientists,Atmospheric and space scientists
1413,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Chemists and materials scientists,Chemists
1414,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Chemists and materials scientists,Materials scientists
1415,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Chemists,Chemists
1416,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Materials scientists,Materials scientists
1417,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Environmental scientists and geoscientists,"Environmental scientists and specialists, including health"
1418,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Environmental scientists and geoscientists,"Geoscientists, except hydrologists and geographers"
1419,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Environmental scientists and geoscientists,Hydrologists
1420,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Environmental scientists and specialists, including health","Environmental scientists and specialists, including health"
1421,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Geoscientists, except hydrologists and geographers","Geoscientists, except hydrologists and geographers"
1422,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Hydrologists,Hydrologists
1423,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Physical scientists, all other","Physical scientists, all other"
1424,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Clergy,Clergy
1425,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Directors, religious activities and education","Directors, religious activities and education"
1426,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Religious workers, all other","Religious workers, all other"
1427,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Paralegals and legal assistants,Paralegals and legal assistants
1428,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Miscellaneous legal support workers,"Title examiners, abstractors, and searchers"
1429,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Miscellaneous legal support workers,"Legal support workers, all other"
1430,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Title examiners, abstractors, and searchers","Title examiners, abstractors, and searchers"
1431,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Legal support workers, all other","Legal support workers, all other"
1432,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Preschool and kindergarten teachers,"Preschool teachers, except special education"
1433,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Preschool and kindergarten teachers,"Kindergarten teachers, except special education"
1434,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Preschool teachers, except special education","Preschool teachers, except special education"
1435,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Kindergarten teachers, except special education","Kindergarten teachers, except special education"
1436,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Elementary and middle school teachers,"Elementary school teachers, except special education"
1437,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Elementary and middle school teachers,"Middle school teachers, except special and career/technical education"
1438,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Elementary and middle school teachers,"Career/technical education teachers, middle school"
1439,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Elementary school teachers, except special education","Elementary school teachers, except special education"
1440,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Middle school teachers, except special and career/technical education","Middle school teachers, except special and career/technical education"
1441,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Career/technical education teachers, middle school","Career/technical education teachers, middle school"
1442,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Secondary school teachers,"Secondary school teachers, except special and career/technical education"
1443,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Secondary school teachers,"Career/technical education teachers, secondary school"
1444,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Secondary school teachers, except special and career/technical education","Secondary school teachers, except special and career/technical education"
1445,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Career/technical education teachers, secondary school","Career/technical education teachers, secondary school"
1446,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Special education teachers,"Special education teachers, preschool"
1447,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Special education teachers,"Special education teachers, kindergarten and elementary school"
1448,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Special education teachers,"Special education teachers, middle school"
1449,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Special education teachers,"Special education teachers, secondary school"
1450,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Special education teachers,"Special education teachers, all other"
1451,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Special education teachers, preschool","Special education teachers, preschool"
1452,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Special education teachers, kindergarten and elementary school","Special education teachers, kindergarten and elementary school"
1453,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Special education teachers, middle school","Special education teachers, middle school"
1454,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Special education teachers, secondary school","Special education teachers, secondary school"
1455,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Special education teachers, all other","Special education teachers, all other"
1456,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Actors, producers, and directors",Actors
1457,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Actors, producers, and directors",Producers and directors
1458,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Actors,Actors
1459,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Producers and directors,Producers and directors
1460,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Athletes, coaches, umpires, and related workers",Athletes and sports competitors
1461,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Athletes, coaches, umpires, and related workers",Coaches and scouts
1462,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Athletes, coaches, umpires, and related workers","Umpires, referees, and other sports officials"
1463,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Athletes and sports competitors,Athletes and sports competitors
1464,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Coaches and scouts,Coaches and scouts
1465,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Umpires, referees, and other sports officials","Umpires, referees, and other sports officials"
1466,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Dancers and choreographers,Dancers
1467,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Dancers and choreographers,Choreographers
1468,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Dancers,Dancers
1469,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Choreographers,Choreographers
1470,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Musicians, singers, and related workers",Music directors and composers
1471,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Musicians, singers, and related workers",Musicians and singers
1472,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Music directors and composers,Music directors and composers
1473,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Musicians and singers,Musicians and singers
1474,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Miscellaneous entertainers and performers, sports and related workers","Disc jockeys, except radio"
1475,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Miscellaneous entertainers and performers, sports and related workers","Entertainers and performers, sports and related workers, all other"
1476,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Disc jockeys, except radio","Disc jockeys, except radio"
1477,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,"Entertainers and performers, sports and related workers, all other","Entertainers and performers, sports and related workers, all other"
1478,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Clinical laboratory technologists and technicians,Clinical laboratory technologists and technicians
1479,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Diagnostic related technologists and technicians,Cardiovascular technologists and technicians
1480,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Diagnostic related technologists and technicians,Diagnostic medical sonographers
1481,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Diagnostic related technologists and technicians,Nuclear medicine technologists
1482,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Diagnostic related technologists and technicians,Radiologic technologists and technicians
1483,"Total, all occupations",Computer and mathematical occupations,Mathematical science occupations,Diagnostic related technologists and technicians,Magnetic resonance imaging technologists
