,top_parent,second_level,third_level,fourth_level,fifth_level
73,"Total, all occupations",Management occupations,Top executives,Miscellaneous community and social service specialists,Community health workers
74,"Total, all occupations",Management occupations,Top executives,Miscellaneous community and social service specialists,"Community and social service specialists, all other"
75,"Total, all occupations",Management occupations,Top executives,Health education specialists,Health education specialists
76,"Total, all occupations",Management occupations,Top executives,Probation officers and correctional treatment specialists,Probation officers and correctional treatment specialists
77,"Total, all occupations",Management occupations,Top executives,Social and human service assistants,Social and human service assistants
78,"Total, all occupations",Management occupations,Top executives,Community health workers,Community health workers
79,"Total, all occupations",Management occupations,Top executives,"Community and social service specialists, all other","Community and social service specialists, all other"
80,"Total, all occupations",Management occupations,Top executives,Lawyers and judicial law clerks,Lawyers
81,"Total, all occupations",Management occupations,Top executives,Lawyers and judicial law clerks,Judicial law clerks
82,"Total, all occupations",Management occupations,Top executives,Lawyers,Lawyers
83,"Total, all occupations",Management occupations,Top executives,Judicial law clerks,Judicial law clerks
84,"Total, all occupations",Management occupations,Top executives,"Judges, magistrates, and other judicial workers","Administrative law judges, adjudicators, and hearing officers"
85,"Total, all occupations",Management occupations,Top executives,"Judges, magistrates, and other judicial workers","Arbitrators, mediators, and conciliators"
86,"Total, all occupations",Management occupations,Top executives,"Judges, magistrates, and other judicial workers","Judges, magistrate judges, and magistrates"
87,"Total, all occupations",Management occupations,Top executives,"Administrative law judges, adjudicators, and hearing officers","Administrative law judges, adjudicators, and hearing officers"
88,"Total, all occupations",Management occupations,Top executives,"Arbitrators, mediators, and conciliators","Arbitrators, mediators, and conciliators"
89,"Total, all occupations",Management occupations,Top executives,"Judges, magistrate judges, and magistrates","Judges, magistrate judges, and magistrates"
90,"Total, all occupations",Management occupations,Top executives,"Business teachers, postsecondary","Business teachers, postsecondary"
91,"Total, all occupations",Management occupations,Top executives,"Math and computer science teachers, postsecondary","Computer science teachers, postsecondary"
92,"Total, all occupations",Management occupations,Top executives,"Math and computer science teachers, postsecondary","Mathematical science teachers, postsecondary"
93,"Total, all occupations",Management occupations,Top executives,"Computer science teachers, postsecondary","Computer science teachers, postsecondary"
94,"Total, all occupations",Management occupations,Top executives,"Mathematical science teachers, postsecondary","Mathematical science teachers, postsecondary"
95,"Total, all occupations",Management occupations,Top executives,"Engineering and architecture teachers, postsecondary","Architecture teachers, postsecondary"
96,"Total, all occupations",Management occupations,Top executives,"Engineering and architecture teachers, postsecondary","Engineering teachers, postsecondary"
97,"Total, all occupations",Management occupations,Top executives,"Architecture teachers, postsecondary","Architecture teachers, postsecondary"
98,"Total, all occupations",Management occupations,Top executives,"Engineering teachers, postsecondary","Engineering teachers, postsecondary"
99,"Total, all occupations",Management occupations,Top executives,"Life sciences teachers, postsecondary","Agricultural sciences teachers, postsecondary"
100,"Total, all occupations",Management occupations,Top executives,"Life sciences teachers, postsecondary","Biological science teachers, postsecondary"
101,"Total, all occupations",Management occupations,Top executives,"Life sciences teachers, postsecondary","Forestry and conservation science teachers, postsecondary"
102,"Total, all occupations",Management occupations,Top executives,"Agricultural sciences teachers, postsecondary","Agricultural sciences teachers, postsecondary"
